evidence_id,case_id,evidence_type,source,description,collected_at,related_entity_id,hash,status
E027,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P007->P018 amount 3000 FCT,2026-01-29 00:00:00,T004,e7007129ccfdafa1e2b47de724576cb315a78711743f8cfcaaa4542ea3ae6867,VERIFIED
E028,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P004->P012 amount 12000 FCT,2026-02-20 00:00:00,T006,cb34215fb4cfa9a2f0ed91d5ef8862b763e657ae2264cc7a9205bdf56a89234a,VERIFIED
E029,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P008->P012 amount 41000 FCT,2026-02-12 00:00:00,T007,6810df515f916d4810ecf7902db235d0304b072e0f3aa589414cfc401a348be0,VERIFIED
E030,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P016->P013 amount 7500 FCT,2026-02-21 00:00:00,T010,688b5f2bc1798bcef0fa6657182486957a9f66a30405416cec7c4710620ca170,VERIFIED
E031,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P022->P024 amount 3000 FCT,2026-02-15 00:00:00,T013,1bc23c5ff867e47f565ac7445f2cb946051b1c18aec8d58f6dda4061cb362bef,VERIFIED
E032,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P004->P011 amount 7500 FCT,2026-03-04 00:00:00,T014,11371528e27e702235a68aabe619f5a5e606d6b640c145f650d4525e34c29e3f,VERIFIED
E033,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P001->P018 amount 41000 FCT,2026-02-04 00:00:00,T017,4ec19d1a7d7b7b24b94afb2a9a9b239374cc1478cf37664c1432208bcf1026ba,VERIFIED
E034,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P013->P024 amount 3000 FCT,2026-01-13 00:00:00,T019,ef7a70e28f8efad742a7e25d1337d5e685c583956cbccda252b8aba0add16112,VERIFIED
E035,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P015->P017 amount 7500 FCT,2026-03-01 00:00:00,T023,3889edacd51fa1299e047c2f3bdecc3c1fe073ba462433b96617e7d879ab37da,VERIFIED
E036,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P007->P018 amount 60000 FCT,2026-02-23 00:00:00,T024,c86d40b79a09382cff9aaf8142193fe60f740fd8b06aa5e1720f47055313f573,VERIFIED
E037,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P015->P007 amount 25000 FCT,2026-01-24 00:00:00,T025,96a63efc92dcf3d586eb561b6c35a6e9487d695f554c06eb6138292a4a084f28,VERIFIED
E038,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P023->P017 amount 41000 FCT (flagged as unusual pattern),2026-02-05 00:00:00,T026,8b05f9af3034e07dabb1135a73bccb824d1b0248c0226d8e4fcdcf76b6c32486,VERIFIED
E039,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P022->P011 amount 7500 FCT,2026-02-21 00:00:00,T028,2fd578eadf349f33624c4f9daeddb3142065a383e2bc617a6663874dc4c62e97,VERIFIED
E040,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P009->P016 amount 7500 FCT,2026-02-09 00:00:00,T029,c4f0a70023818c1580b3e05f2f0ae148bac19e2ebcfcf7deadcc96725773f188,VERIFIED
E041,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P005->P001 amount 12000 FCT,2026-02-10 00:00:00,T030,3b9bfb1a15c812c35d8c7dda6c8275448c6c6aa27c8586957dce1251d58996ce,VERIFIED
E042,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P017->P020 amount 7500 FCT,2026-03-05 00:00:00,T034,6c6e5290402be6f84a528276f40a7115e061338cc3190277247e0bd48c3d16d9,VERIFIED
E043,CASE001,TRANSACTION_RECORD,Bank Ledger Export,Transfer P002->P009 amount 60000 FCT,2026-03-06 00:00:00,T042,7b20d03b88e210e5f5e7d3816f0a40efe2e9d44000d85095163a04df7ceed5bf,VERIFIED
E044,CASE001,DOCUMENT,Field Report,P001 observed entering Cinderlot Depot warehouse briefly.,2026-01-12 18:00:00,EV001,7825b32eda9586dd69a65ec502cbf7701ad0391d9008e0204538e1d704dda4e5,VERIFIED
E045,CASE001,DOCUMENT,Field Report,P010 observed at Cinderlot Depot loading dock in the evening.,2026-01-15 19:00:00,EV002,2558a0e97679f927b94f16a64698c2c2c7f48fac5a94316a653d73bc4e0d9440,VERIFIED
E046,CASE001,DOCUMENT,Field Report,P003 checked into The Aldermere Inn for one night.,2026-01-19 20:00:00,EV003,c82aa0956d66dc75366e927f70956e4e487b1d2f25c5efa15f0dd602e765099c,VERIFIED
E047,CASE001,DOCUMENT,Field Report,P015 seen at The Aldermere Inn breakfast area.,2026-01-21 09:00:00,EV004,99e0e4a9c336f789362100d05507aae1db6a0e1aeb07b8f6507ba6de26a3a1bf,VERIFIED
E048,CASE001,DOCUMENT,Field Report,P002 confirmed as staff at Solace Freight Cooperative HQ.,2026-01-13 08:00:00,EV005,113d6194b1c961541eb72c016cd71ca3404584739ffbb5099de22b49de7db8c9,VERIFIED
E049,CASE001,DOCUMENT,Field Report,P020 confirmed as staff at Solace Freight Cooperative Millbrook Branch.,2026-01-16 10:00:00,EV006,3bfe3c88c4764770a8849449033cb064c499610bce7c75268d64b41818b29018,VERIFIED
E050,CASE001,DOCUMENT,Field Report,P008 departed Aldenport Transit Hub in a rented white pickup truck.,2026-01-30 15:00:00,EV007,cb5f945bfebcfa0ee4aea14d97b2bcc8d444c79a0014e33846a13999d709cc31,VERIFIED
E051,CASE001,DOCUMENT,Field Report,P022 arrived at Aldenport Transit Hub in a black sedan.,2026-01-30 16:00:00,EV008,a32a7ddb7dcfe62e74bfd6911e142606466eaef466863360e07add5ff4662515,VERIFIED
E052,CASE001,DOCUMENT,Field Report,P010 oversaw a delivery at Harrow's End Storage using an unmarked cargo truck.,2026-01-14 21:00:00,EV009,9ffdea5752c9b478ac959eb5a61a2bae1beda132654084b804b64e49711c2439,VERIFIED
E053,CASE001,DOCUMENT,Field Report,P006 met an unnamed contact at Cindermere Diner.,2026-01-23 17:00:00,EV010,2b3445d51e64f06d18e11400a3557d618147cf50af82c9cf10c9ab25b53b7c85,VERIFIED
E054,CASE001,DOCUMENT,Field Report,P001 held a meeting at Northgate Trading Office.,2026-01-24 18:00:00,EV011,167c3fb3e15c639c598dbe301686b07e43d95cc815977fbfa8dad24fb8f71c93,VERIFIED
E055,CASE001,OBSERVATION_LOG,Field Report,P005 involved in a minor dispute reported at Ravensbrook Meeting Hall.,2026-01-26 12:00:00,EV012,aadc0efadf2bf48848a2b12326d39020f40de469636e1bb7bfa84d25aebbcbdf,VERIFIED
E056,CASE002,DOCUMENT,Field Report,Travel event logged for P023 at L009.,2026-01-19 16:00:00,EV016,30a2a1132258e503c14b2a322ea08a84fb59f387fab77bb7e9ac7537635f0ce5,VERIFIED
E057,CASE001,OBSERVATION_LOG,Field Report,Observation event logged for P014 at L004.,2026-01-15 19:00:00,EV018,a69a3008d1d80fbc7cd94c19b808f5c8bac16a17055c5b9efb9ea2f20d0fc50b,VERIFIED
E058,CASE001,DOCUMENT,Field Report,Meeting event logged for P007 at L012.,2026-02-14 21:00:00,EV021,9639dad53753cf15b1926ac9dec93fd0243fb90498184c7ff705c804c997bb10,VERIFIED
E059,CASE001,OBSERVATION_LOG,Field Report,Observation event logged for P022 at L010.,2026-01-15 17:00:00,EV022,f7f843647bf35e87d27715ab6176cea88d0aef3738ca09901cb684078ffdbaad,VERIFIED
E060,CASE002,DOCUMENT,Field Report,Visit event logged for P024 at L006.,2026-03-01 14:00:00,EV024,2bb67a3f4e0e165eb41ecfc3ddbfbf90217df9f2f6e32cd67e9dba7e63b6657a,VERIFIED
E061,CASE001,DOCUMENT,Field Report,Visit event logged for P012 at L008.,2026-02-12 20:00:00,EV025,50230af57dedbc5b35cbc2fe9251cd6d05fce65554bb605a78f6be2456e47419,VERIFIED
E062,CASE001,DOCUMENT,Field Report,Delivery event logged for P009 at L011.,2026-02-21 16:00:00,EV027,d230fb8cfacc3b700de58984c5bca443d927bb06cdc0935c9ab715995e70d492,VERIFIED
E063,CASE001,DOCUMENT,Field Report,Delivery event logged for P017 at L002.,2026-03-03 22:00:00,EV028,60dfea60179622247fc6df6411e81e69815ac0cc613dc02037da3d5d3974cd33,VERIFIED
E064,CASE001,OBSERVATION_LOG,Field Report,Incident event logged for P016 at L009.,2026-02-20 20:00:00,EV030,72d043063dac2d5c75129ca4b5e26c6bb59f596f2bdd7c10b299bc2399625c5a,VERIFIED
E065,CASE001,DOCUMENT,Field Report,Meeting event logged for P004 at L007.,2026-01-30 10:00:00,EV031,73800e3930fa0beec3e767cd6da39ec8987b9441bb48a7fd122e871d34893e43,VERIFIED
E066,CASE001,OBSERVATION_LOG,Field Report,Observation event logged for P011 at L012.,2026-02-12 09:00:00,EV033,987c357137f029248bea0d03db7eac7108ffacdc06568fc9c7d780adb25af14f,VERIFIED
E067,CASE001,DOCUMENT,Field Report,Delivery event logged for P004 at L007.,2026-03-02 09:00:00,EV041,8cabf0750ebd7ac5e9c5b8b2f7c5fa46f9186e6be615109223469c4c6a9488fc,VERIFIED
E068,CASE001,DOCUMENT,Field Report,Delivery event logged for P006 at L009.,2026-01-13 14:00:00,EV042,882509a99959c3e16d5e358c87be49c591b5c816bade91496fec18250a15eb59,VERIFIED
E069,CASE002,OBSERVATION_LOG,Field Report,Observation event logged for P021 at L008.,2026-03-05 12:00:00,EV045,f223514f7f50534a33d95f6c07afb69a131fab5e40280fd41dce397e3c24a7fd,VERIFIED
E070,CASE001,DOCUMENT,Field Report,Employment event logged for P002 at L009.,2026-02-12 13:00:00,EV048,9aabe1b170e5684e38cd0bc7dcbac22e859a3d74c78f062437d405fdac8f6e30,VERIFIED
E071,CASE001,DOCUMENT,Field Report,Employment event logged for P022 at L010.,2026-02-14 08:00:00,EV050,c75521c491128c8f2b1095aa84b02c2f0546688233bc46d27de7c43abea944b1,VERIFIED
E072,CASE001,DOCUMENT,Field Report,Employment event logged for P003 at L001.,2026-02-20 11:00:00,EV052,9c2265261f82f67f8199e51b470ca8e1203b4dfab6a018e46f79cec0a0033e99,VERIFIED
E073,CASE001,DOCUMENT,Field Report,Travel event logged for P016 at L009. Departed in a silver motorcycle.,2026-01-19 16:00:00,EV054,5b91fee3c1a36420b44383d3efeb106d3b65d0887e60171f7d853b4ce002b14f,VERIFIED
E074,CASE001,DOCUMENT,Field Report,Employment event logged for P008 at L005.,2026-01-25 09:00:00,EV057,48ee2d7a41dec9d204e418c824b776b69a0807f93b3a0c814346339023df8aee,VERIFIED
