event_id,case_id,timestamp,event_type,person_id,location_id,organization_id,description,evidence_id
EV041,CASE001,2026-03-02 09:00:00,DELIVERY,P004,L007,O006,Delivery event logged for P004 at L007.,E067
EV042,CASE001,2026-01-13 14:00:00,DELIVERY,P006,L009,O004,Delivery event logged for P006 at L009.,E068
EV043,CASE002,2026-01-20 07:00:00,TRAVEL,P023,L011,O001,Travel event logged for P023 at L011.,
EV044,CASE001,2026-01-12 17:00:00,OBSERVATION,P015,L009,,Observation event logged for P015 at L009.,
EV045,CASE002,2026-03-05 12:00:00,OBSERVATION,P021,L008,,Observation event logged for P021 at L008.,E069
EV046,CASE001,2026-01-20 08:00:00,VISIT,P007,L001,O004,Visit event logged for P007 at L001.,
EV047,CASE001,2026-01-12 21:00:00,VISIT,P003,L012,O002,Visit event logged for P003 at L012.,
EV048,CASE001,2026-02-12 13:00:00,EMPLOYMENT,P002,L009,O005,Employment event logged for P002 at L009.,E070
EV049,CASE001,2026-02-04 20:00:00,MEETING,P008,L001,,Meeting event logged for P008 at L001.,
EV050,CASE001,2026-02-14 08:00:00,EMPLOYMENT,P022,L010,O002,Employment event logged for P022 at L010.,E071
EV051,CASE001,2026-01-20 12:00:00,INCIDENT,P011,L007,O004,Incident event logged for P011 at L007.,
EV052,CASE001,2026-02-20 11:00:00,EMPLOYMENT,P003,L001,O005,Employment event logged for P003 at L001.,E072
EV053,CASE001,2026-02-27 10:00:00,INCIDENT,P017,L004,O007,Incident event logged for P017 at L004.,
EV054,CASE001,2026-01-19 16:00:00,TRAVEL,P016,L009,O001,Travel event logged for P016 at L009. Departed in a silver motorcycle.,E073
EV055,CASE001,2026-02-23 21:00:00,OBSERVATION,P014,L011,O005,Observation event logged for P014 at L011.,
EV056,CASE001,2026-02-01 08:00:00,OBSERVATION,P022,L010,,Observation event logged for P022 at L010.,
EV057,CASE001,2026-01-25 09:00:00,EMPLOYMENT,P008,L005,O002,Employment event logged for P008 at L005.,E074
EV058,CASE001,2026-02-13 06:00:00,MEETING,P011,L012,O002,Meeting event logged for P011 at L012.,
